SiteCode,VariableCode,TSN,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,ValueAccuracy
70-145,Hg-MM,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.120,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Mn-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,13.6,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,1.1
70-145,Ni-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,2.69,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.004
70-145,Pb-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.101,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Sb-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.025,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Se-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,3.11,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.03
70-145,Sn-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.035,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.001
70-145,Tl-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,0.008,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.0001
70-145,V-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,3.34,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.002
70-145,Zn-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,160,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.4
70-145,Water-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-2-lab-duplicate-1,74.7,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.1
70-145,Ag-T,93294,JT-2015-BIOTA-Amphipods-70-145-field duplicate-2-lab-duplicate-2,1.41,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.004
70-145,Al-T,93294,JT-2015-BIOTA-Amphipods-70-145-field duplicate-2-lab-duplicate-2,219,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,2.3
70-145,As-T,93294,JT-2015-BIOTA-Amphipods-70-145-field duplicate-2-lab-duplicate-2,24.9,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.012
70-145,Ba-T,93294,JT-2015-BIOTA-Amphipods-70-145-field duplicate-2-lab-duplicate-2,8.46,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.01
